DATE,lat,long,easting,northing,FloodProb
2019-03-03,54.91574773,-2.928095065,340603.9231,558288.3846,Zero
2019-03-03,54.91574773,-2.928095065,340603.9231,558288.3846,Zero
2019-03-03,54.91574773,-2.928095065,340603.9231,558288.3846,Zero
2019-03-03,54.91574773,-2.928095065,340603.9231,558288.3846,Zero
2019-03-03,54.91574773,-2.928095065,340603.9231,558288.3846,Zero
2019-03-03,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-03,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-05,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-08,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-08,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-08,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-08,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-08,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-09,54.77208205,-2.980296032,337034.0651,542347.7546,Zero
2019-03-09,54.61973377,-3.364276661,312003.8368,525809.5131,Zero
2019-03-13,54.61973377,-3.364276661,312003.8368,525809.5131,Zero
2019-03-13,54.61973377,-3.364276661,312003.8368,525809.5131,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.31925744,-3.21460287,321091.092,492199.799,Zero
2019-03-13,54.50380858,-3.448462026,306302.4227,513020.2014,Zero
2019-03-13,54.50380858,-3.448462026,306302.4227,513020.2014,Zero
2019-03-13,54.50380858,-3.448462026,306302.4227,513020.2014,Zero
2019-03-14,54.50380858,-3.448462026,306302.4227,513020.2014,Zero
2019-03-14,54.50380858,-3.448462026,306302.4227,513020.2014,Zero
2019-03-14,54.50380858,-3.448462026,306302.4227,513020.2014,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-14,54.36794797,-2.7670119,350263.9297,497208.3459,Zero
2019-03-15,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-15,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-15,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-15,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-16,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-16,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-16,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-16,54.57178208,-2.828629643,346527.6628,519934.0367,Zero
2019-03-16,52.84951607,-1.929565921,404840.5895,328004.0003,Zero
2019-03-16,52.84951607,-1.929565921,404840.5895,328004.0003,Zero
2019-03-16,52.84951607,-1.929565921,404840.5895,328004.0003,Zero
2019-03-16,52.84951607,-1.929565921,404840.5895,328004.0003,Zero
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,54.01522306,-2.846894915,344603.312,458022.3638,High
2019-03-16,53.96196899,-2.852868071,344140.55,452102.0281,High
2019-03-16,53.96196899,-2.852868071,344140.55,452102.0281,High
2019-03-16,53.96196899,-2.852868071,344140.55,452102.0281,High
2019-03-16,53.96196899,-2.852868071,344140.55,452102.0281,High
2019-03-16,53.96196899,-2.852868071,344140.55,452102.0281,High
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,53.87660077,-2.980089236,335662.3903,442712.192,Zero
2019-03-16,54.10291935,-2.67034149,356264.5783,467655.6791,High
2019-03-16,54.10291935,-2.67034149,356264.5783,467655.6791,High
2019-03-16,54.10291935,-2.67034149,356264.5783,467655.6791,High
